ID	NASTAVITVENITLAK	TOLERANCATLAK	TOLERANCAPOMIK	TLAKSISTEMA	PN	PREMER	HOTT
196	45.44	0	0.2	0	0	0	1
197	5.5	0	0	0	0	0	1
198	0	0	0	0	0	0	3
199	4.6	0	0.2	3.4	25	23	2
200	5	0	0.2	3.4	0	10	2
201	5	0	0	3.4	25	12	2
202	5	0	0	3.4	0	10	2
203	5	0	0.2	3.4	0	10	2
204	9.8	0	0.2	0.5	16	14	2
205	3.5	0	0.2	0	25	80	1
206	5	0	0.2	4.2	16	24	2
207	6	0	0.2	4.2	16	24	2
208	6	0	0.2	4.2	16	24	2
209	6	0	0.2	4.2	16	24	2
210	6	0	0.2	4.2	16	24	2
211	6	0	0.2	4.2	40	22	2
212	6	0	0.2	4.2	16	24	2
213	6.2	0	0.2	4.2	16	24	2
214	6.2	0	0.2	4.2	16	24	2
215	6	0	0.2	4.2	16	24	2
216	7	0	0	3.2	0	10	2
217	7	0	0	3.2	0	10	2
218	7	0	0	3.2	0	10	2
219	7	0	0	3.2	0	10	2
220	7	0	0	3.2	0	10	2
221	0.5	0	0.2	0	25	56	1
222	6	0	0.2	0	25	15	1
223	5	0	0	4.2	16	25	2
224	5	0	0	4.2	40	15	2
225	5	0	0	4.2	16	25	2
226	6.3	0	0.2	3	40	52	2
227	6.6	0	0	0	40	19	1
228	4	0	0.2	0.4	0	36	2
229	21	0	0.2	15	40	26	2
230	40	0	0.2	28	64	25.7	2
231	5	0	0.2	1.4	25	35	2
232	5	0	0.2	2.4	25	35	2
233	9.5	0	0.2	6.6	40	18	2
234	5	0	0	2	25	35.7	2
235	10	0	0.2	5.8	25	37.9	2
236	4.4	0	0.2	2.9	40	90	2
237	3	0	0	1.8	40	150	2
238	3	0	0	1.8	40	150	2
239	40.2	0	0	35	40	78	2
240	35	0	0.2	11	0	122.7	2
241	35.65	0	0.2	11	0	122.7	2
242	6	0	0.2	1.5	0	105.5	2
243	32	0	0.2	10.72	0	86	2
244	21	0	0	17	0	40	2
245	11	0	0.2	7	40	46	2
246	11.2	0	0.2	7	40	46	2
247	15	0	0.2	10	40	40	2
248	7	0	0	3	16	15	2
249	4.4	0	0.2	0	0	52	1
250	4.4	0	0.2	0	0	52	1
251	7	0	0	5.8	16	10	2
252	8	0	0	3	16	10	2
253	8	0	0	3	16	10	2
254	6.5	0	0	3	16	10	2
255	4.5	0	0	3.5	40	48	2
256	4.5	0	0	3.5	40	48	2
257	2.6	0	0	1.2	16	27	2
258	2.6	0	0	1.2	16	27	2
259	5.75	0	0	3	16	15	2
260	7	0	0	3	16	15	2
261	7	0	0	3	16	15	2
262	7	0	0	3	16	15	2
263	6	0	0	0.7	40	25	2
264	25.5	0	0	0.7	40	25	2
265	11.5	0	0.2	8.2	40	20	2
266	11.5	0	0.2	8.2	40	20	2
267	43	0	0.2	21.7	160	112	2
268	42	0	0.2	21.5	160	112	2
269	11.5	0	0.2	9.8	40	68	2
270	42	0	0.2	19.8	160	112	2
271	43	0	0.2	19.6	160	112	2
272	42	0	0.2	18.5	160	68	2
273	181	0	0	142	200	20	2
274	181	0	0	142	200	20	2
275	181	0	0	142	200	20	2
276	170	0	0	141	200	20	2
277	170	0	0	142	200	20	2
278	49	0	0	25	200	20	2
279	48	0	0	25	200	20	2
280	48	0	0	25.5	200	20	2
281	52	0	0	27	200	85	2
282	51	0	0	27	200	98	2
283	51	0	0	27	200	98	2
284	22	0	0	11	40	92	2
285	13	0	0	11	40	125	2
286	11	0	0	0	25	200	1
287	11	0	0	0	25	200	1
288	120	0	0	0	0	64	1
289	118	0	0	0	0	64	1
290	130	0	0	0	0	63	1
291	128	0	0	0	0	63	1
292	35	0	0	0	40	80	1
293	27	0	0	0	200	100	1
294	27	0	0	0	200	100	1
295	25	0	0	0	200	100	1
296	25	0	0	0	200	100	1
297	25	0	0	0	200	100	1
298	25	0	0	0	200	100	1
299	27	0	0	0	200	100	1
300	27	0	0	0	200	100	1
301	25	0	0.2	6.8	40	12	2
302	25	0	0	6.1	40	12	2
303	25	0	0	5.9	40	12	2
304	25	0	0	6	40	12	2
305	25	0	0	4	40	12	2
306	25	0	0	4	40	12	2
307	13	0	0.2	12	40	64	2
308	25	0	0	6.2	40	12	2
309	2	0.27	0.2	1	0	0	2
310	3.5	0.255	0.2	2.8	25	126	2
311	3.5	0	0.2	2.8	25	126	2
312	12.5	0	0.2	9.8	40	51	2
313	8.5	0	0.2	6.9	25	126	2
314	8	0.26	0.2	0	40	28	3
315	5	0	0.2	2.8	40	36	2
316	9	0	0.2	7	40	24.5	2
317	3.5	0	0.2	1.3	16	92	2
318	14	0	0.2	10	40	24.5	2
319	8.3	0	0.2	6.7	25	126	2
320	6	0.265	0.2	0	40	12	3
321	0.3	0	0.2	0	25	165	1
322	0.5	0	0.2	0	40	29	1
323	22.9	0	0.2	0	40	63	1
324	22.9	0	0.2	0	40	63	1
325	17	0	0.2	0	25	17	1
326	17	0	0.2	0	25	17	1
327	17	0	0.2	0	25	17	1
328	17	0	0.2	0	25	17	1
329	15.6	0	0.2	0	25	50	1
330	15.6	0	0.2	0	25	50	1
331	21	0	0.2	0.5	25	32	2
332	21	0	0.2	0.5	25	32	2
333	21	0	0.2	0.5	25	32	2
334	13	0	0.2	0	40	0	1
335	13	0	0.2	6.6	40	64	2
336	22	0	0.2	0	40	92	1
337	13	0	0.2	0	40	125	1
338	14.71	0	0.2	0	25	126	1
339	13.73	0	0.2	0	25	126	1
340	12.75	0	0.2	0	25	126	1
341	12.75	0	0.2	9.8	25	126	2
342	13.73	0	0.2	9.8	25	126	2
343	14.71	0	0.2	9.8	25	126	2
344	14.7	0	0.2	9.8	40	152.4	2
345	15.7	0	0.2	9.8	40	152.4	2
346	14.7	0	0.2	9.8	40	152.4	2
347	12.25	0	0.2	6	40	152.4	2
348	12.25	0	0.2	6	40	152.4	2
349	12.25	0	0.2	6	40	152.4	2
350	16.671	0	0.2	9.757	40	152.4	2
351	15.69	0	0.2	9.757	40	152.4	2
352	14.7	0	0.2	9.757	40	152.4	2
353	12.25	0	0.2	5.8	40	152.4	2
354	12.25	0	0.2	5.8	40	152.4	2
355	12.25	0	0.2	5.8	40	152.4	2
356	191.23	0	0.2	167.2	250	57.65	2
357	191.23	0	0.2	168.48	250	57.65	2
358	194.17	0	0.2	168.48	250	57.65	2
359	191.23	0	0.2	168.67	250	57.65	2
360	191.23	0	0.2	167.69	250	57.65	2
361	191.23	0	0.2	169.165	250	57.65	2
362	0	0	0	0	0	0	3
363	128	0	0.2	0	160	63	1
364	130	0	0.2	0	160	63	1
365	115	0	0.2	0	160	63	1
366	118	0	0.2	0	160	63	1
367	35	0	0.2	0	64	32	1
368	58	0	0.2	46	160	40	2
369	43	0	0.2	38.5	160	50	2
370	5	0	0.2	1.8	40	92	2
371	3.5	0	0.2	1.8	40	200	2
372	14	0	0.2	9.2	40	23	2
373	14	0	0.2	9.2	40	23	2
374	2.3	0	0.2	0	40	200	1
375	3.3	0	0.2	2.2	40	98	2
376	3.5	0	0.2	0	40	60	1
377	14	0	0.2	0	40	23	1
378	4	0	0.2	0	40	46	1
379	2	0	0.2	1.8	40	93	2
380	5	0	0.2	2.4	40	23	2
381	8	0	0.2	7.4	40	46	2
382	10	0	0.2	4	40	23	2
383	16	0	0.2	8.5	40	125	2
384	5.5	0	0.2	6	16	58.5	2
385	59	0	0.2	45	160	15	2
386	59.18	0	0.2	45	160	15	2
387	13	0	0.2	7.5	40	23	2
388	3.5	0	0.2	2.2	40	46	2
389	10	0	0.2	5	40	23	2
390	2	0	0	1.8	40	93	2
391	31.3	0.265	0.2	16	0	0	2
398	5.172	0	0	0.25	0	0	2
