ID	NASTAVITVENITLAK	TOLERANCATLAK	TOLERANCAPOMIK	TLAKSISTEMA	PN	PREMER	HOTT
817	0	0	0	0	0	0	3
818	48	0	0.2	25	200	20	2
819	48	0	0.2	25	200	20	2
820	52	0	0.2	28	200	85	2
821	52	0	0.2	28	200	85	2
822	52	0	0.2	27	200	85	2
823	52	0	0.2	28	200	85	2
824	52	0	0.2	28	200	85	2
825	51	0	0.2	28	200	98	2
826	51	0	0.2	28	200	98	2
827	170	0	0.2	140	200	20	2
828	170	0	0.2	140	200	20	2
829	170	0	0.2	140	200	20	2
830	9.5	0	0.2	7	40	0	2
831	0	0	0	0	0	0	3
832	0	0	0	0	0	0	3
833	9.5	0	0.2	7.5	40	0	2
834	0	0	0.2	0	0	0	3
835	9.5	0	0.2	6.8	40	0	2
836	3	0	0.2	1.8	10	0	2
837	0	0	0	0	0	0	3
838	0	0.265	0.2	0	0	0	3
839	0	0	0	0	0	0	3
840	43	0	0.2	17	0	0	2
841	43	0	0.2	16.7	0	0	2
842	1	0	0.2	0.18	10	125	2
843	1	0	0.2	0.18	10	125	2
844	5	0	0.2	4.6	10	126	2
845	5	0	0.2	1.42	25	165	2
846	0	0	0	0	0	0	3
847	6	0	0.2	4.83	10	0	2
848	6	0	0.2	4.83	10	0	2
849	10	0	0.2	8.6	10	0	2
850	10	0	0.2	8.5	10	0	2
851	0	0	0	0	0	0	3
852	23	0	0.2	0	40	0	1
853	22	0	0.2	0	40	0	1
854	56	0	0.2	0	0	0	1
855	56	0	0.2	0	0	0	1
856	56	0	0.2	0	0	0	1
857	48	0	0.2	0	0	0	1
858	48	0	0.2	0	0	0	1
859	13	0	0.2	0	40	125	1
860	22	0	0.2	0	40	92	1
861	0	0	0	0	0	0	3
862	13	0	0.2	0	40	0	1
863	0	0	0	0	0	0	3
864	13	0	0.2	5.6	40	0	2
865	7	0	0.2	0	10	0	1
866	7	0	0.2	0	10	0	1
867	7	0	0.2	0	10	0	1
868	0	0	0	0	0	0	3
869	0	0	0	0	0	0	3
870	0	0	0	0	0	0	3
871	0	0	0	0	0	0	3
872	7	0	0.2	0	10	0	1
873	6	0	0.2	0	25	0	1
874	0	0	0	0	0	0	3
875	6	0	0.2	0	25	200	1
876	8	0	0.2	0	40	0	1
877	0.8	0	0.2	0	40	125	1
878	3	0	0.2	0	25	165	1
879	6	0	0.2	0	25	18	1
880	0.3	0	0.2	0	40	0	1
881	14	0	0.2	0	40	18	1
882	54	0	0.2	0	160	23	1
883	54	0	0.2	0	160	23	1
884	6	0	0.2	0	40	51	1
885	6	0	0.2	0	40	51	1
886	6	0	0.2	0	40	51	1
887	17.5	0	0.2	8	40	0	2
888	10.3	0	0.2	8	0	0	2
889	54	0	0.2	0	63	0	1
890	24	0	0.2	13.5	40	0	2
891	17	0	0.2	0	0	0	1
892	17	0	0.2	0	0	0	1
893	6	0	0.2	6	16	23	2
894	6	0	0.2	4.6	40	0	2
895	250	0	0.2	180	320	9	2
896	13	0	0.2	0.2	0	0	2
897	10	0	0.2	1	0	0	2
898	35	0	0.2	15	0	17.5	2
899	5	0	0.2	2.5	0	0	2
900	24	0	0.2	0	0	0	1
901	24	0	0.2	14.5	0	0	2
902	24	0	0.2	14.5	0	0	2
903	24	0	0.2	14	0	0	2
904	194	0	0.2	149.8	0	0	2
905	199.8	0	0.2	150.8	0	0	2
906	0	0	0	0	0	0	3
907	0	0	0	0	0	0	3
908	186.7	0	0.2	151	0	0	2
909	33	0	0.2	24.1	0	0	2
910	34	0	0.2	21.4	0	0	2
911	31.4	0	0.2	24.3	0	0	2
912	104	0	0.2	73	0	0	2
913	8	0	0.2	4.6	0	0	2
914	8.2	0	0.2	4.6	0	0	2
915	6.9	0	0.2	3.6	0	0	2
916	45	0	0.2	22	0	0	2
917	30.5	0	0.2	24.5	0	0	2
918	31.4	0	0.2	24.5	0	0	2
919	28.4	0	0.2	21	0	0	2
920	8	0	0.2	5	0	0	2
921	31.4	0	0.2	24.5	0	0	2
922	5.9	0.265	0.2	0	40	0	1
923	17	0	0.2	10.3	40	0	2
924	17	0	0.2	11.65	40	0	2
925	22	0	0.2	20.7	40	0	2
926	0.5	0	0.2	0.17	16	0	2
927	10	0	0.2	4.9	16	0	2
928	10.5	0	0.2	9.9	40	0	2
929	10.5	0	0.2	9.9	40	0	2
930	10.5	0	0.2	9.9	40	0	2
931	4.5	0	0.2	1.1	16	0	2
932	0	0	0	0	0	0	3
933	43	0	0.2	0	0	0	1
934	46	0	0.2	0	0	0	1

