57	1
57	2
57	3
58	1
58	2
59	2
59	3
60	2
64	2
64	3
77	1
77	2
77	3
95	1
95	2
95	3
117	1
117	2
117	3
127	1
128	1
128	2
128	3
129	1
129	2
129	3
130	1
130	2
130	3
131	1
131	2
131	3
132	1
132	2
132	3
133	1
133	3
134	1
134	2
134	3
143	1
143	2
143	3
144	1
144	2
144	3
145	1
145	2
145	3
146	1
186	1
186	2
194	1
194	3
228	1
228	3
240	1
240	2
240	3
241	1
241	2
241	3
243	1
243	2
243	3
266	3
267	3
268	1
268	2
268	3
270	1
279	3
271	1
271	2
271	3
272	1
272	3
323	1
323	3
334	3
335	1
335	2
336	1
336	2
336	3
337	1
337	2
337	3
338	1
338	2
338	3
339	1
339	2
339	3
341	1
341	2
341	3
343	1
343	2
343	3
345	1
345	2
345	3
347	1
347	2
347	3
348	1
348	2
348	3
349	1
349	2
349	3
350	2
350	3
351	1
351	2
351	3
353	1
353	2
353	3
354	1
354	2
354	3
355	1
355	3
356	1
356	2
356	3
357	1
357	2
357	3
358	2
358	3
360	1
360	2
360	3
364	1
364	2
364	3
365	1
365	2
365	3
366	1
366	2
366	3
455	1
455	2
455	3
467	2
467	3
472	1
472	2
474	1
474	2
474	3
477	1
477	2
477	3
482	1
484	3
505	1
505	2
505	3
514	1
514	2
514	3
527	1
527	2
527	3
529	1
529	2
529	3
534	1
534	2
534	3
538	1
538	2
538	3
552	1
552	2
552	3
578	1
578	2
578	3
583	2
584	3
642	1
642	2
642	3
643	1
643	2
643	3
646	1
646	2
646	3
647	1
647	2
647	3
651	1
651	2
651	3
652	1
652	2
652	3
686	3
701	1
701	2
701	3
708	1
709	1
709	2
709	3
710	1
710	2
710	3
711	1
711	2
713	3
714	1
714	2
714	3
715	1
716	1
716	2
716	3
717	1
717	2
717	3
750	1
750	2
750	3
767	1
767	2
767	3
768	1
768	2
768	3
770	1
770	2
770	3
780	1
780	2
780	3
786	1
786	2
786	3
788	1
788	2
788	3
789	1
789	2
790	1
790	2
790	3
796	1
796	2
797	1
797	2
797	3
798	1
798	2
798	3
799	1
799	2
799	3
800	1
800	2
800	3
801	1
801	2
801	3
802	1
802	2
802	3
803	1
803	2
803	3
804	1
804	2
804	3
805	1
805	2
805	3
807	1
807	2
807	3
808	1
808	2
808	3
809	1
809	2
809	3
810	1
810	2
810	3
811	1
811	2
812	1
812	2
814	1
814	2
819	1
819	3
820	1
820	2
821	1
821	2
821	3
823	1
823	2
832	3
824	1
824	2
824	3
825	1
825	2
826	1
826	2
826	3
827	1
827	2
828	1
828	2
829	1
829	2
829	3
835	1
835	2
841	1
841	2
841	3
844	1
844	2
844	3
845	1
845	2
845	3
847	1
847	2
847	3
848	1
848	2
848	3
849	1
849	2
849	3
850	1
850	2
859	1
859	2
872	1
872	2
872	3
875	1
875	2
875	3
887	1
887	2
887	3
888	1
888	2
888	3
890	1
890	2
895	1
895	2
895	3
897	1
897	2
897	3
898	1
898	2
898	3
901	1
901	2
901	3
902	1
902	2
902	3
903	1
903	2
904	1
904	2
905	1
905	2
908	1
908	2
908	3
912	1
912	2
918	1
918	2
918	3
919	1
919	2
919	3
923	1
923	2
923	3
924	2
924	3
928	1
928	2
928	3
929	1
929	2
930	1
930	2
933	1
933	2
933	3
934	1
943	2
934	3
