ID	VRSTA	C1	X1	Y1	C2	X2	Y2	C3	X3	Y3
281	3	9.57999992370605	15.1581001281738	0	12.9899997711182	13.2087001800537	0	10.6099996566772	15.7285995483398	0
282	1	10.2799997329712	15.710000038147	0	15.0100002288818	12.2650003433228	0	11.8900003433228	17.3449993133545	0
282	3	12.1999998092651	18.4599990844727	0	16.4300003051758	15.3999996185303	0	13.710000038147	19.3700008392334	0
283	1	8.57999992370605	15.9419002532959	0	13.9099998474121	14.9201002120972	0	10.789999961853	17.806999206543	0
283	2	18.8299999237061	18.1394004821777	0	23.3700008392334	16.7355995178223	0	20.75	19.2863006591797	0
283	3	10.1700000762939	19.6390991210938	0	14.9099998474121	16.5818004608154	0	11.8900003433228	20.6079998016357	0
284	1	17.6900005340576	9.00080013275146	0	20.4400005340576	8.64536952972412	0	19.0599994659424	9.15097999572754	0
284	3	8.47000026702881	8.98577976226807	0	10.8100004196167	8.680419921875	0	9.42000007629395	9.11594009399414	0
285	1	5.73000001907349	1.53683996200562	0	8.05000019073486	1.33659994602203	0	7.32000017166138	1.90728998184204	0
285	3	2.96000003814697	2.46795988082886	0	5.61999988555908	2.14757990837097	0	3.9300000667572	3.00359988212585	0
286	1	32.5400009155273	36.8250007629395	0	38.0499992370605	36.9749984741211	0	36.25	38.9700012207031	0
286	2	22.5599994659424	42.8849983215332	0	26.0499992370605	42.0149993896484	0	24.8799991607666	43.6650009155273	0
286	3	14.0900001525879	42.5400009155273	0	16.7399997711182	42.1199989318848	0	15.6800003051758	43.6650009155273	0
287	1	15.460000038147	43.0424995422363	0	18.75	41.5200004577637	0	16.8500003814697	43.6949996948242	0
287	3	13.7700004577637	42.8175010681152	0	17.1599998474121	41.9025001525879	0	15.2600002288818	43.7324981689453	0
288	1	7.94000005722046	45.7125015258789	0	10.4799995422363	44.8499984741211	0	9	46.5525016784668	0
288	2	8.98999977111816	47.6925010681152	0	11.6400003433228	47.6025009155273	0	10.1599998474121	48.6674995422363	0
288	3	11	48.435001373291	0	13.539999961853	48.5099983215332	0	11.9499998092651	49.3349990844727	0
289	1	19.4799995422363	50.7374992370605	0	22.0300006866455	50.0999984741211	0	20.4400005340576	51.2775001525879	0
289	2	10.0600004196167	48.7350006103516	0	12.3999996185303	48.247501373291	0	10.9099998474121	49.2599983215332	0
289	3	9.42000007629395	47.9625015258789	0	11.7600002288818	47.8050003051758	0	10.2799997329712	48.5475006103516	0
290	1	12.6400003433228	46.7550010681152	0	15.0699996948242	46.252498626709	0	13.5900001525879	47.4749984741211	0
290	2	13.2399997711182	48.5175018310547	0	15.6800003051758	47.939998626709	0	14.3999996185303	48.997501373291	0
290	3	13.8800001144409	48.689998626709	0	16.1000003814697	48.5175018310547	0	14.9300003051758	49.2000007629395	0
291	1	19.8899993896484	44.6399993896484	0	22.6399993896484	43.9799995422363	0	21.0400009155273	45.3074989318848	0
291	2	16.6299991607666	45.877498626709	0	18.9500007629395	44.8050003051758	0	17.4699993133545	46.3574981689453	0
291	3	16.6299991607666	47.5800018310547	0	19.3799991607666	47.0325012207031	0	17.7999992370605	48.3450012207031	0
292	1	14.9099998474121	25.4221992492676	0	0	0	0	0	0	0
292	2	8.46000003814697	21.7900009155273	0	0	0	0	0	0	0
292	3	7.09999990463257	19.3808002471924	0	0	0	0	0	0	0
293	1	16.9899997711182	30.7271003723145	0	19.2199993133545	29.878999710083	0	18.0499992370605	31.2082004547119	0
293	3	9.92000007629395	30.7120990753174	0	12.3500003814697	30.6326999664307	0	10.7600002288818	31.0790996551514	0
294	1	12.710000038147	30.2061004638672	0	14.7299995422363	29.8141994476318	0	13.8800001144409	31.0293998718262	0
294	3	9.10999965667725	30.7814998626709	0	10.9200000762939	30.0970993041992	0	9.94999980926514	31.2327995300293	0
295	1	11.6499996185303	30.9351997375488	0	13.3500003814697	30.4442005157471	0	12.4899997711182	31.2574996948242	0
295	2	13.7700004577637	29.9930992126465	0	15.789999961853	28.949800491333	0	14.6199998855591	30.3451995849609	0
295	3	7.94000005722046	27.9508991241455	0	9.42000007629395	27.7422008514404	0	8.57999992370605	28.3234996795654	0
296	1	15.5699996948242	31.0293006896973	0	17.5799999237061	30.9151992797852	0	16.6299991607666	31.520299911499	0
296	3	8.38000011444092	27.8069000244141	0	9.85999965667725	27.717399597168	0	9.10999965667725	28.1895008087158	0
297	1	12.5	33.7271003723145	0	13.8800001144409	33.6875	0	13.4499998092651	34.1735000610352	0
297	2	9.85999965667725	30.6121997833252	0	11.6499996185303	30.255199432373	0	10.6999998092651	31.0287990570068	0
297	3	7.94000005722046	27.861400604248	0	9.52999973297119	27.2999000549316	0	8.57999992370605	28.1296997070313	0
298	1	13.8800001144409	32.6162986755371	0	15.789999961853	31.8575000762939	0	14.6199998855591	32.8889999389648	0
298	2	9.97999954223633	29.7793006896973	0	12.0900001525879	29.4762992858887	0	10.8299999237061	30.1068000793457	0
298	3	8.27000045776367	27.4937000274658	0	9.64000034332275	27.3794002532959	0	9.22000026702881	27.8812007904053	0
299	1	9.64000034332275	34.0245018005371	0	11.539999961853	33.4739990234375	0	10.3900003433228	34.4014015197754	0
299	2	10.0600004196167	32.3082008361816	0	11.8699998855591	32.1594009399414	0	10.9200000762939	32.719799041748	0
299	3	9.07999992370605	29.9524002075195	0	11.5100002288818	29.475700378418	0	9.8100004196167	30.2301006317139	0
300	1	11.7600002288818	27.1954002380371	0	13.2399997711182	27.309700012207	0	12.710000038147	27.8712005615234	0
300	2	8.80000019073486	27.8162002563477	0	10.6999998092651	27.4036998748779	0	9.64000034332275	28.3379001617432	0
300	3	8.38000011444092	30.4085006713867	0	10.0600004196167	30.1854000091553	0	9.22000026702881	30.8994998931885	0
301	1	1.91999995708466	0.228300005197525	0	4.23999977111816	0.162100002169609	0	2.23000001907349	0.245900005102158	0
301	2	1.88999998569489	0.236800000071526	0	4.11999988555908	0.190500006079674	0	2.30999994277954	0.242400005459785	0
301	3	1.63999998569489	0.234599992632866	0	3.75999999046326	0.194499999284744	0	2.48000001907349	0.244299992918968	0
302	1	8.47000026702881	0.231299996376038	0	10.6999998092651	0.138999998569489	0	8.80000019073486	0.241600006818771	0
302	3	2.00999999046326	0.238900005817413	0	4.23999977111816	0.177599996328354	0	3.0699999332428	0.251599997282028	0
